,strategy,benchmark
2022-06-15,13723.027891029416,15123.717962225757
2022-06-16,13459.084999877157,14562.636091033095
2022-06-17,13351.076306753057,14487.113982161876
2022-06-21,13457.473723704921,14871.869956283477
2022-06-22,13412.236100428529,14802.188169155886
2022-06-23,13440.43990441556,14852.7035369092
2022-06-24,13496.363951875119,15347.182748779027
2022-06-27,13495.895646952624,15301.571891714244
2022-06-28,13491.673485145804,15008.541819723738
2022-06-29,13503.58174206437,14935.62389475679
2022-06-30,13502.610915267538,14782.092396049062
2022-07-01,13503.77115639612,14772.663805005828
2022-07-05,13569.356789011306,14802.903179852861
2022-07-06,13583.186847371251,14878.515786603646
2022-07-07,13618.913129194301,15169.926594037157
2022-07-08,13635.497283239281,15191.062274426424
2022-07-11,13604.587556821127,15005.78924929527
2022-07-12,13464.429980443994,14784.630057816998
2022-07-13,13423.465481324229,14740.440037095594
2022-07-14,13428.698171907412,14765.802622293673
2022-07-15,13527.506720173687,15074.794038512024
2022-07-18,13367.352348031196,14936.975187907858
2022-07-19,13563.217249161495,15423.646467223518
2022-07-20,13619.297521449449,15614.915527532632
2022-07-21,13838.20777804924,15863.468915978945
2022-07-22,13674.120135808133,15597.380384331902
2022-07-25,13680.033576098049,15631.85385101461
2022-07-26,13605.03996224864,15460.924211422078
2022-07-27,13835.595943647326,15944.355489556834
2022-07-28,13943.645208254971,16103.842494878607
2022-07-29,13980.867827072583,16293.610217397743
2022-08-01,13933.511524560403,16212.240030914803
2022-08-02,13895.143364991862,16168.073329674808
2022-08-03,14049.54816755385,16334.418857678806
2022-08-04,14059.032858970735,16364.232546730495
2022-08-05,14031.18895959899,16323.958045738984
2022-08-08,13972.238870910856,16196.863809759416
2022-08-09,13882.489868096036,16030.565700246994
2022-08-10,14097.04116182226,16417.442931997113
2022-08-11,14056.468359969735,16409.29006295779
2022-08-12,14222.462357237138,16733.672847756505
2022-08-15,14271.083529538955,16792.813196773917
2022-08-16,14226.939975725645,16706.89618661464
2022-08-17,14105.84718001792,16565.967035924565
2022-08-18,14153.814154793408,16722.434422007253
2022-08-19,13995.954756102286,16469.250166234633
2022-08-22,13730.730503709014,16087.591995114984
2022-08-23,13679.305775179315,16085.438700739864
2022-08-24,13683.637519572436,16130.075937533773
2022-08-25,13824.963925082673,16420.498255945895
2022-08-26,13473.837205586313,15760.078039728898
2022-08-29,13383.621662609745,15614.952039606931
2022-08-30,13345.498237983658,15423.560785951575
2022-08-31,13319.981850093514,15267.81264573428
2022-09-01,13323.245299539902,15217.367912303425
2022-09-02,13316.208967052693,15064.78046742564
2022-09-06,13313.753168168374,15001.697187993657
2022-09-07,13319.099734674828,15195.052617097163
2022-09-08,13320.717670135018,15367.60867361459
2022-09-09,13323.60269990108,15665.33943163628
2022-09-12,13327.621375348626,15796.213104450055
2022-09-13,13318.744425117913,15064.178373531198
2022-09-14,13317.633651501192,15155.566734585947
2022-09-15,13314.5567639342,14882.990457566515
2022-09-16,13314.453795316902,14796.525700201837
2022-09-19,13309.935718257491,14829.411280256763
2022-09-20,13305.222435288368,14666.595117917614
2022-09-21,13294.55024279428,14462.303300243633
2022-09-22,13305.651568367588,14393.638330384965
2022-09-23,13303.552853107287,14135.039302915515
2022-09-26,13293.839179943816,13957.404370584665
2022-09-27,13295.6847434317,13977.051930860305
2022-09-28,13310.365902541862,14299.511844908297
2022-09-29,13295.994145243505,14003.980474295638
2022-09-30,13252.729216840773,13764.026191002155
2022-10-03,13267.3954285757,14220.809450021477
2022-10-04,13307.487710064108,14724.194297893462
2022-10-05,13319.25212248602,14823.932119018895
2022-10-06,13305.249735377754,14760.507040400826
2022-10-07,13278.544071573464,14273.095203904255
2022-10-10,13268.841270827694,14044.925339825919
2022-10-11,13300.057581635232,13963.82882275544
2022-10-12,13293.387240884964,13932.514610925575
2022-10-13,13399.373525242705,14349.073225318767
2022-10-14,13323.74871190456,14000.87300569522
2022-10-17,13359.654332194656,14330.617934525397
2022-10-18,13369.26286755691,14428.579364693089
2022-10-19,13399.699946458328,14418.412275179835
2022-10-20,13404.66417422521,14379.329893140748
2022-10-21,13511.26325715853,14727.089968398808
2022-10-24,13550.329465886762,14914.658633210842
2022-10-25,13580.753689363635,15152.833929056318
2022-10-26,13673.852243737743,15050.405819870874
2022-10-27,13700.015071317312,14908.830997881267
2022-10-28,13789.437513804794,15299.002742237604
2022-10-31,13763.118460093316,15189.481650013677
2022-11-01,13770.928703548969,15146.944098103615
2022-11-02,13692.707362203706,14757.07912470978
2022-11-03,13778.855129391444,14692.745876342306
2022-11-04,13833.720056312393,14937.211352790117
2022-11-07,13935.97416863845,15187.382060617185
2022-11-08,13989.861692360857,15299.186011133745
2022-11-09,13843.089434596555,14927.716900758296
2022-11-10,13983.810128050738,15830.61041158042
2022-11-11,14006.098311155496,16051.168166341942
2022-11-14,14027.576793893757,16015.506245623426
2022-11-15,14041.878067485684,16207.297592998928
2022-11-16,13998.820359195002,15962.242690302119
2022-11-17,14026.871371837098,15988.00950474266
2022-11-18,14036.549288455091,15991.73679811289
2022-11-21,14020.940275965304,15876.986807315028
2022-11-22,14127.325716439009,16200.538633466369
2022-11-23,14104.622132880488,16283.884901220637
2022-11-25,14123.82329823942,16248.334481453212
2022-11-28,14008.824783630345,15954.506718533436
2022-11-29,14007.857425926246,15887.8464558848
2022-11-30,14103.211241316842,16489.273266638153
2022-12-01,14100.106569932643,16481.99581462307
2022-12-02,14111.942521638135,16411.298056570307
2022-12-05,14019.2641897652,16129.557402539995
2022-12-06,13945.227095863298,15834.186222909324
2022-12-07,13974.279969719304,15824.927057221088
2022-12-08,14014.027368693774,16019.535219238534
2022-12-09,13949.296557169277,15840.937985467079
2022-12-12,14003.807948899177,16111.709616704353
2022-12-13,14003.519113497343,16284.745434051267
2022-12-14,14006.549237796085,16198.68996183288
2022-12-15,13917.343241961466,15774.304231035034
2022-12-16,13882.390719251547,15608.670644888147
2022-12-19,13873.909382028642,15484.488616475712
2022-12-20,13877.228063535367,15521.800426172447
2022-12-21,13916.116117096604,15797.991408265518
2022-12-22,13912.00997730859,15499.870166020297
2022-12-23,13909.4475995667,15601.115514443942
2022-12-27,13911.004821201821,15515.17659586473
2022-12-28,13897.947789367716,15331.212466267029
2022-12-29,13918.194756657711,15630.525376661959
2022-12-30,13909.251875369333,15620.537739271555
2023-01-03,13908.073219846356,15474.816717276854
2023-01-04,13923.972787859831,15588.843683140401
2023-01-05,13914.397733202366,15409.53436625765
2023-01-06,13956.861548557656,15729.343919786335
2023-01-09,13940.271250924854,15763.761315777718
2023-01-10,13943.153703031552,15926.259138119187
2023-01-11,13974.231382413862,16068.227377770967
2023-01-12,14002.836875343812,16157.29650994864
2023-01-13,14033.458998445556,16254.510228689047
2023-01-17,13989.117461219172,16264.306304145997
2023-01-18,13889.205942373508,16013.927819380167
2023-01-19,13884.090317204385,15903.857636442566
2023-01-20,13992.235653482709,16225.899101680385
2023-01-23,14087.750148060997,16515.665011865174
2023-01-24,14035.013068521921,16467.82504544252
2023-01-25,14020.538299686814,16380.18912993872
2023-01-26,14113.122284104345,16654.081221676282
