,strategy,benchmark
2023-11-02,21784.640991289154,20680.049232245685
2023-11-03,21967.785223678187,20857.1835038924
2023-11-06,22150.8760311086,20990.776343408554
2023-11-07,22279.35004057838,21089.19277449916
2023-11-08,22441.947525637894,21218.90085756701
2023-11-09,22230.92938041954,21029.62771981002
2023-11-10,22729.720852406783,21483.451645388785
2023-11-13,22771.936776091537,21520.780022013787
2023-11-14,23134.095985263004,21878.1839515692
2023-11-15,22971.749959421963,21757.427464708715
2023-11-16,23046.076845265863,21815.019741987686
2023-11-17,23072.921036821917,21864.675280394644
2023-11-20,23367.731396012085,22116.388312705014
2023-11-21,23257.151061503904,22017.666990232894
2023-11-22,23270.397353334727,22038.14087589142
2023-11-24,23227.61818474054,22011.44129316865
2023-11-27,23142.471888636865,21938.116977239606
2023-11-28,23116.14088486766,21903.068006092297
2023-11-29,23123.906177343113,21918.665378661895
2023-11-30,23049.10201637342,21868.04856512064
2023-12-01,23078.91920508354,21912.53135465752
2023-12-04,22810.646988722823,21690.259196480412
2023-12-05,22873.5477302279,21717.585844878864
2023-12-06,22692.436275030617,21540.21845130757
2023-12-07,23054.00288602077,21857.19024938279
2023-12-08,23260.562321443987,22028.948341319046
2023-12-11,23413.285197078076,22196.502990388883
2023-12-12,23705.063441884773,22325.5640176532
2023-12-13,23901.424169406037,22554.834275279958
2023-12-14,23812.539064124227,22525.618685721154
2023-12-15,23907.839426659928,22621.418312409114
2023-12-18,24164.207183567174,22833.594895278038
2023-12-19,24243.343045546666,22938.623496909808
2023-12-20,23848.619988399158,22557.57366059038
2023-12-21,24140.981865285623,22833.44113788665
2023-12-22,24163.547810451364,22867.925645025873
2023-12-26,24288.969356950714,22991.1818918845
2023-12-27,24374.08262830509,23060.489962252683
2023-12-28,24384.84144877772,23065.805608505954
2023-12-29,24329.124993843918,23000.31136825052
2024-01-02,24027.199894269907,22751.397198796134
2024-01-03,23958.55078313849,22649.097767880095
2024-01-04,23914.09441877689,22603.481628058995
2024-01-05,24035.266920933773,22702.115712845538
2024-01-08,24632.939719635702,23222.83958482667
2024-01-09,24712.066357161817,23277.434410623566
2024-01-10,24994.62936697712,23497.628390495207
2024-01-11,25094.606545691324,23579.173965755508
2024-01-12,25172.502007189603,23663.48348822359
2024-01-16,25311.488980408245,23761.552114257447
2024-01-17,25220.252992176735,23665.397573055998
2024-01-18,25531.801597652164,23982.75965748221
2024-01-19,26174.446080137634,24577.40663037745
2024-01-22,26158.778660546213,24575.15048374907
2024-01-23,26211.06479604328,24634.61507134773
2024-01-24,26481.08596821706,24860.20863894048
2024-01-25,26623.092817291643,24986.746400989898
2024-01-26,26541.231839708886,24904.508499863936
2024-01-29,26827.019652054485,25144.581277838013
2024-01-30,26814.282078099073,25130.917343304856
2024-01-31,26313.703461436384,24665.419102228545
2024-02-01,26728.03500780487,25000.47655118898
2024-02-02,27369.51256741694,25520.003490326446
2024-02-05,27727.9914157512,25818.11584804009
2024-02-06,27585.052091302765,25707.187948065577
2024-02-07,27981.816166842404,26041.747639395555
2024-02-08,27997.888959312204,26077.245956951265
2024-02-09,28286.24933022272,26316.1591163844
2024-02-12,28187.499648724297,26241.40291490718
2024-02-13,27969.449344397635,26004.540813132942
2024-02-14,28407.872299843253,26395.12033329762
2024-02-15,28354.695114981132,26382.28719600842
2024-02-16,28239.43170298888,26259.501901867963
2024-02-20,27716.73086778518,25815.36675661766
2024-02-21,27561.72277430439,25713.846806739748
2024-02-22,29101.64050995091,27004.921835891866
2024-02-23,29076.194311644675,26982.041892524896
2024-02-26,29059.48814707816,26975.8208133171
2024-02-27,28985.79609959673,26930.603301771127
2024-02-28,28824.337451001466,26796.335018790967
2024-02-29,29160.95992198071,27097.216565383907
2024-03-01,29974.922980449843,27825.851322887036
2024-03-04,30200.501978033928,28027.29578733071
2024-03-05,29873.506686740428,27723.03682596875
2024-03-06,30224.948966678443,28069.088571325792
2024-03-07,30801.30403895771,28611.307451538076
2024-03-08,30064.506006507694,27974.359658470177
2024-03-11,29700.609450443557,27705.716743993245
2024-03-12,30515.446389386863,28455.62610368909
2024-03-13,30295.29299322448,28239.2837177706
2024-03-14,30040.231262447967,28026.388971176417
2024-03-15,29739.001032034073,27780.437247131278
2024-03-18,29952.53425813642,27957.215050615156
2024-03-19,30064.815321955295,28040.115421031078
2024-03-20,30243.773648788327,28209.42728866195
2024-03-21,30444.03175631343,28402.01108426384
2024-03-22,30717.020418875723,28608.4157776571
2024-03-25,30729.704422612285,28584.301297767885
2024-03-26,30498.183572525326,28375.779045099876
2024-03-27,30377.06519805844,28319.93730753895
2024-03-28,30389.454049956494,28349.195340773847
